income,loan_amount,term,credit_history,defaulted
50703.81781155399,16062.115719060284,36,1.0,0
70063.59216205643,8128.982605899043,60,1.0,1
58509.44845085742,9609.318021547764,36,0.0,0
40387.844417107764,,60,1.0,1
58505.12089915145,12342.9267870443,36,1.0,0
79684.65819638745,14878.172182087324,60,1.0,0
51355.131296020874,16339.899549382642,36,1.0,1
80163.58580465212,,36,0.0,1
8000.0,15577.007331645453,60,1.0,1
66794.24507875403,18919.009862957213,36,0.0,0
53566.84722828708,16386.846488860723,36,0.0,1
,4147.2006018767715,36,1.0,0
53651.69397763904,10363.987637087474,36,0.0,1
,15135.474665670306,36,1.0,0
48045.90601892478,8741.831542953354,36,0.0,0
58428.02628721143,19599.572379977228,60,1.0,0
78602.09280534729,25184.504994062183,60,1.0,1
42671.13607107435,,60,0.0,0
37447.115147922625,14719.342774418752,36,1.0,0
,24944.35682109971,60,1.0,0
68477.23811863734,16892.00474321267,36,1.0,0
57917.51997387432,13977.484173291763,36,0.0,0
42464.3163321933,12319.584018754362,36,,1
61238.81379604041,14185.18188107123,36,1.0,0
53747.39588826473,,60,1.0,0
,17022.497334252927,36,1.0,0
39363.04431020765,,60,1.0,0
,16018.276120920487,36,1.0,0
44942.053243621165,18621.6290184781,60,1.0,1
25656.730933621864,23143.877648718048,60,1.0,1
57330.16498716237,21697.32481264794,60,1.0,1
56698.99489923801,7090.612189300578,60,1.0,0
52092.0422195643,,60,1.0,0
47777.43159924736,21605.91946743564,60,1.0,0
26523.326643092543,7798.727809507473,36,0.0,1
44428.384190223536,14651.407588643899,60,1.0,0
45831.13870251815,8979.321843643844,36,1.0,1
37559.00915401086,5188.117374519881,60,1.0,1
49096.85719001183,19248.776369228726,36,1.0,0
59272.91542266169,20554.93096181588,60,1.0,0
85951.34622178954,12540.937595639683,60,1.0,1
55142.400630973105,1000.0,36,,0
56635.90703300976,12722.533310485103,60,1.0,0
50659.97351620899,18350.82403241528,60,1.0,0
17462.118124617256,7126.530587355228,60,1.0,1
51522.750241914095,17100.159518674933,36,1.0,0
53084.14377893847,15908.140904962027,60,1.0,0
96338.35802473515,19475.74899760653,36,1.0,1
48537.502633939795,,60,,1
57427.85216200502,10161.586354710667,60,1.0,0
51375.18814530562,23179.429009986947,36,,1
30963.795322848422,15048.82256183818,60,1.0,1
72570.81066127037,15836.172762940409,60,1.0,0
65534.79458836193,10400.392245560823,36,1.0,1
66238.57504677484,13340.306492850938,60,1.0,0
35631.0258136947,10691.183715838593,36,,0
77250.29759684979,14962.323640459463,36,1.0,1
26766.680869738942,26270.25088085406,36,1.0,1
62563.42768840487,7768.593142411863,60,1.0,0
91428.2012645796,6318.631612739553,36,1.0,0
34170.34614764761,24827.021964961652,36,1.0,0
41806.640867150105,14744.057937088803,60,1.0,0
,,36,1.0,0
42937.438225908416,22239.42812437646,60,,1
24088.058240809612,12366.306761578815,60,,0
53234.13354650849,26956.058281281617,60,,1
32878.53315293011,20067.555228035613,60,1.0,0
60524.66375143327,13072.531551125783,36,0.0,0
35450.363783791545,28943.84927959302,36,1.0,1
,12365.71046197997,36,0.0,1
37901.440737947734,20452.57223205584,36,1.0,0
46202.89270829784,17795.75548243895,36,0.0,1
66643.30991265406,23810.447736392787,60,1.0,1
29844.442304188808,25369.06718036112,36,1.0,1
56094.27882287433,16192.024894394599,36,1.0,1
75528.5695770837,11479.4927779229,36,0.0,1
23065.301777897905,18759.832857634698,60,0.0,1
55323.40945358147,,60,1.0,0
56677.890296471625,28080.323485159737,36,1.0,0
66072.81169199159,16819.211986496426,60,1.0,1
29734.887204194525,13808.070692127349,36,0.0,0
28231.780964483027,17108.08183518945,36,1.0,0
61394.948181104155,7917.242262821821,60,0.0,1
57345.72411819735,10170.31576893609,60,0.0,1
56508.871306225774,23202.483447666553,36,1.0,1
58236.06777094556,12058.634326171625,36,1.0,0
39759.55501158717,9718.534103908361,60,0.0,0
56180.56654889807,19219.916515163717,36,0.0,1
57275.30451937627,23114.224927977983,60,0.0,1
39141.674475525375,20313.7198639904,36,1.0,0
85583.94120060562,,60,1.0,0
60528.99257641217,,36,,1
30556.537050352326,7469.135999548938,36,0.0,0
63817.964955408934,25008.00191173292,60,,1
34455.72993590821,14063.920966947186,36,1.0,1
,,36,1.0,1
72854.72042213328,23969.16485109435,60,0.0,0
37227.71826966921,19337.38005640396,36,,1
69340.77032639779,18735.326632489647,36,1.0,1
59430.05668485697,28990.014069406505,36,1.0,0
66797.08287990082,12138.890617719142,60,0.0,1
86142.27368777106,21567.040768487423,60,,0
,16342.078749382506,60,0.0,1
38432.749041565185,17611.55367317954,36,1.0,0
35988.740266740584,25170.81055847519,36,1.0,1
37315.41487062211,19047.01453773774,36,0.0,1
50612.169230546126,19229.776474297796,36,1.0,0
,22435.044023858813,60,1.0,0
56980.434387940346,13810.283622742689,36,1.0,0
66889.29848264843,10964.741995965962,36,1.0,0
52234.03405380232,9731.144835873798,36,1.0,0
78163.6133888317,,60,1.0,0
47236.17700171679,28337.242779641932,36,1.0,0
100963.04499861313,9380.7498056699,36,1.0,0
63262.01225977011,14672.478258485367,36,1.0,0
36571.163984506915,14339.120200666475,36,1.0,0
32723.93503489998,17844.440186854605,36,0.0,1
60684.503474377336,20894.42327523578,60,1.0,0
47977.66986413468,21162.840930158472,36,1.0,1
64852.00889365766,12501.53536858637,36,1.0,0
60518.277242323806,14997.269717281531,36,0.0,1
50689.07957217629,17695.4797029298,36,0.0,0
36757.71307476871,14507.853242898718,36,1.0,0
24732.749955654435,25644.073456119957,36,1.0,1
43962.73086279362,18945.84970982951,36,0.0,1
,20409.266716298906,36,1.0,1
55853.68739434367,19977.287612004475,36,,1
29576.701983184215,,36,1.0,1
55117.25666532128,17086.12935222224,60,,1
58935.71283511906,8219.00831226492,60,0.0,1
36090.56614837961,18398.12771051585,60,1.0,1
54767.0519070195,12091.858637249026,60,0.0,0
53047.756932028,12828.299909501458,36,1.0,0
31426.534639048783,19518.18411253056,60,1.0,0
58440.1724862691,23429.698428601812,60,1.0,0
62094.12147462822,16127.62946041637,36,1.0,0
71494.92237715499,17852.998075593783,60,1.0,1
70968.43693662825,26213.289667811427,60,0.0,1
27201.951376772362,17444.51907693141,36,1.0,1
35119.14928152779,31610.09868508237,36,1.0,1
61270.63480975588,19393.057873789265,36,1.0,0
61248.14711641976,5435.423445065093,60,0.0,0
61270.85835350886,20520.049726627196,60,0.0,0
121349.16683178498,18286.950309296666,36,1.0,0
62276.029192477006,23738.516524496474,36,1.0,0
72440.18152325078,20039.08810761975,60,1.0,1
69172.03174287765,15169.264096097357,36,1.0,0
63725.042523504366,8654.210582263806,60,0.0,0
,14745.860456283848,36,0.0,1
65661.44596887882,10896.877274744198,36,1.0,0
38089.146138323704,12516.859301171664,60,,0
47737.26507867984,19531.470426523658,36,0.0,1
43263.45613907614,26019.42702610844,36,1.0,1
53473.73450895381,18368.029178937886,36,1.0,0
93663.85420012315,8824.701627788894,60,1.0,0
18389.226533348534,18667.616009320845,36,1.0,1
,,36,1.0,0
22971.11431858627,12341.302574083707,36,0.0,1
43505.226415790195,15195.896999962493,36,1.0,0
71601.11074541259,16088.129168375182,36,0.0,0
53157.04034371833,11290.610121506561,36,1.0,1
32600.59399727249,19889.682603063153,60,1.0,1
39124.53323332057,15274.311108353311,60,,0
,18517.194663442166,36,1.0,0
38853.40062909154,10675.0469331874,60,1.0,0
55896.254612475546,13375.250198059537,60,0.0,1
52820.29311826865,,36,1.0,1
40271.1937430953,13763.001087449398,60,1.0,0
90590.99360785587,26361.78310740043,60,1.0,0
63410.542401724204,13602.182886312386,60,1.0,1
15547.43344016307,17348.108354511314,60,0.0,1
55356.1776658497,21595.544991238537,60,1.0,0
40087.84363416902,7489.80560240181,60,0.0,1
67343.80002633203,5435.1471281153445,60,1.0,0
37734.62670821139,6846.062112579431,60,1.0,0
49934.744053595816,23575.504620563093,36,1.0,0
61089.77102164823,12688.85112464532,36,1.0,0
67583.59349506219,31349.19571400951,60,1.0,0
30394.664672996027,12614.514408055667,60,1.0,0
45978.97775486293,17107.30781918222,36,1.0,0
43450.98439910279,25252.65971540725,60,1.0,0
40240.07381367318,28036.55732895474,60,1.0,1
83778.17632505974,28369.02145981839,36,1.0,1
59289.6707972972,23250.197383558854,36,1.0,0
29304.088821969188,,36,1.0,0
,19555.161695207098,60,1.0,0
90198.8115462274,,60,1.0,1
70584.37468992065,12692.8857020288,36,0.0,1
24651.34061282776,11090.806699466157,36,1.0,1
43283.786688407476,15979.753255534288,60,1.0,0
74804.40068535921,14978.892264850429,36,1.0,0
39261.949618861945,13280.631704036348,60,1.0,0
59988.74970663211,,60,1.0,1
65943.41296172806,21731.831251423064,36,0.0,0
35315.251511594506,16530.441317751083,36,1.0,0
,24865.18048633157,60,0.0,1
8000.0,9149.865315198971,36,1.0,1
33561.022455982784,14838.043244321692,36,1.0,0
47453.773274923115,11699.06607638317,36,1.0,0
29539.90272463271,4800.78029756164,36,0.0,1
81383.40347076944,15503.915884943804,60,1.0,1
26257.45519670861,15269.514949700299,60,1.0,1
44079.19923945429,25080.698459452786,60,1.0,1
54353.33039114965,19784.870107328665,60,0.0,0
77942.91920319007,9854.87905402477,36,0.0,0
,27124.55539800513,36,1.0,1
72936.94753878927,23326.202173152116,60,1.0,0
52184.19509835257,,60,1.0,0
34332.84428113689,,36,1.0,0
60317.862536738874,10243.364579659123,60,,0
55583.07452032246,13766.759343573682,60,1.0,0
41196.096211141696,,36,1.0,1
53256.43752982034,27307.517835607654,60,1.0,0
45064.355256488314,25259.461169633134,36,1.0,0
54043.31221452246,13066.903469282355,36,1.0,0
63918.35214137884,9282.295400265932,60,1.0,1
80548.30269061634,16845.317481467224,36,1.0,1
29719.321021116717,5389.3638066228905,60,0.0,1
90394.6007438128,17939.006285108688,36,1.0,0
16862.419608594966,15114.384482207988,60,0.0,0
49267.8682893595,13203.780988790546,60,1.0,0
62589.70971672238,6431.781596399227,60,1.0,0
57057.85361923059,19081.6006394183,36,0.0,1
40791.40864322931,12803.794962028533,36,0.0,1
48253.799493569044,8980.498985738272,60,0.0,1
43125.98317614101,1000.0,36,,1
,15834.910569696183,60,1.0,0
67292.83774637844,,60,0.0,1
58426.27874737085,25967.55528728722,36,1.0,1
39527.62728530823,13257.422460482368,60,1.0,0
68192.79775779851,12386.727637829317,36,,0
57531.39137577897,18812.64553645014,60,1.0,0
66631.51813910127,10009.687364870251,36,1.0,0
63333.31915462502,17810.751398916796,60,,0
37078.0898034027,20596.48167030814,60,0.0,1
41916.741276454544,23361.599343305847,36,0.0,0
65451.28489221871,15399.075541120283,60,1.0,1
62986.66477780237,14777.957498938205,60,0.0,1
,10732.104479460635,36,,0
,11038.71787576084,60,1.0,0
,14641.12664859084,36,1.0,0
41351.71500095506,18204.19304089707,60,0.0,1
,21481.507757399497,36,1.0,1
48360.53225618991,11180.926295917932,60,1.0,0
48081.73834191004,24956.13141375713,60,1.0,1
71777.98333576942,14373.258393744587,60,0.0,0
66857.49428178454,15871.796233909383,36,1.0,0
66643.1734480115,11516.72992511306,36,1.0,0
75498.61852877792,1454.55843836235,36,1.0,1
52378.06914938966,21304.272378166297,36,1.0,1
64275.15348330935,,60,0.0,0
46415.198381317794,14312.03465729072,60,,1
57834.99434479196,16401.94430334923,36,1.0,0
49657.42502138168,19095.635306224598,36,1.0,1
53745.92736986893,6624.724858680744,36,1.0,0
62712.826457864445,12825.683935922232,60,,0
37272.027701797495,20765.588077730965,36,0.0,0
89662.9709623383,,36,1.0,0
33891.68713300537,17761.347592999777,60,1.0,1
,7860.50917225957,60,1.0,0
72845.99572300122,18798.579894601156,36,1.0,0
66249.92849133284,15786.151106215098,60,1.0,0
63234.1567069388,6309.209104566944,36,1.0,1
63310.21916675704,22988.43612674303,60,1.0,0
51779.55808875553,11592.450539211704,36,1.0,0
35849.421313255036,11138.485377913714,36,1.0,0
53364.48204748707,17203.415183385656,36,1.0,1
,22891.82409657229,36,0.0,0
69552.15520151952,9905.069086129617,60,,0
49352.9671329615,16370.07909908783,60,0.0,1
37141.05045773479,18572.89900198344,60,1.0,1
46215.05485024612,20158.633643578865,60,1.0,1
,17058.64933166335,36,1.0,0
41852.95804952845,,36,0.0,1
37200.03287980423,11034.458676107683,60,1.0,1
56386.36980685442,16516.863298278247,60,1.0,0
56409.39827995701,9567.165928086359,60,1.0,1
42875.02284331966,1000.0,60,1.0,0
43521.31049887019,18619.358824946008,60,1.0,0
56176.89887243745,21423.609046517173,36,,1
25934.481853048164,1822.4053867489692,36,0.0,0
26665.652061222005,9941.615771740375,36,1.0,0
,19714.925566031186,60,,0
48157.95126918675,28344.972818270195,60,1.0,0
57596.33618076408,16124.762246052447,60,0.0,0
78556.41190509194,11631.982352625193,60,1.0,1
67437.87321763634,14902.62135337096,36,1.0,1
49121.10646065831,24249.25851488911,36,1.0,0
51657.7082577516,12124.214925252789,60,0.0,1
33954.47143651944,11204.84796009848,36,0.0,1
51666.76355213698,13103.538866907806,36,1.0,1
46804.14449943751,10280.028350447727,60,1.0,1
57808.93408608561,16736.021895968774,60,1.0,1
37109.843016058185,25748.070750817365,60,0.0,1
,17938.475638696174,60,1.0,0
79589.3004340464,14485.878987242275,60,1.0,0
50042.31732777656,14249.132386506735,60,1.0,0
59230.81099778094,6620.855147820057,36,1.0,0
64422.591850800025,,36,1.0,1
44778.03150605495,15532.976817923187,60,0.0,1
56033.6646725875,,36,1.0,0
52226.66321407231,35158.64540706917,60,1.0,0
,17792.51745019412,60,1.0,1
38085.823890601605,,60,1.0,0
52441.18313666097,13441.85442276674,60,0.0,0
60963.9692424181,22890.67425518053,36,0.0,0
78120.58494031074,16679.622463226588,60,1.0,0
69266.87486953373,7370.3321300958,36,0.0,1
90757.284235208,21515.37360745122,60,0.0,1
38187.74386801511,11991.135486766036,60,1.0,0
67701.7714609722,27239.786657305274,60,1.0,1
55300.156103290334,22480.28839428789,36,1.0,1
,13316.068626047492,60,1.0,0
37450.63086360727,23686.098170410678,60,,1
36885.006840746035,16407.13306316442,60,1.0,0
41210.9323820076,21116.642050733317,36,1.0,0
13769.876962423477,18908.39690376685,36,1.0,1
42536.409609746304,10921.860070054758,36,1.0,0
38335.612092033436,,60,1.0,0
54707.088156571735,22179.76490548697,36,1.0,1
,13991.348007360755,60,1.0,0
85771.07510588595,13578.10922054802,36,1.0,0
69107.6290873489,10269.264523903883,36,0.0,0
,18541.594393560765,60,1.0,1
35828.53591572956,,36,,1
,9594.802514474362,60,1.0,0
28235.80227362844,16145.31674003655,60,1.0,0
84966.25778537837,24473.323332492575,36,1.0,1
73229.92217298316,15522.151652525708,60,1.0,0
43554.838262115314,18714.230777498404,60,1.0,1
21163.578476364204,9625.638831118722,36,1.0,1
76369.70273497743,18569.842583245892,36,1.0,1
,14877.134409972707,60,1.0,0
74280.69361552231,21914.379974079176,36,0.0,1
23300.30214170139,23124.31630938851,60,0.0,1
41211.249586832084,31537.381852111685,60,1.0,0
52094.386594927295,,36,1.0,0
52845.65068776536,17954.777899492998,36,1.0,0
43898.821513373616,17166.305809464015,36,1.0,0
,,36,,1
32782.8322711133,18030.903060770146,60,0.0,1
49437.169269616716,14227.591539165824,60,1.0,0
54165.32137081418,,36,0.0,1
61259.89901305748,23905.58521364776,36,1.0,1
64809.06780560002,9960.744608322153,60,1.0,0
31756.442346918353,22839.271366774272,60,1.0,1
24385.9449267588,23902.690404039193,60,0.0,1
,15291.588838053527,60,0.0,0
,3268.870605948432,36,0.0,0
38527.24234198203,12353.068077433405,60,,0
79920.73555940541,,60,1.0,0
54082.14341727146,15862.791626206706,36,,1
,10004.186606230534,60,1.0,1
53215.33266538196,12971.350472630696,60,1.0,0
89093.46264787577,21043.720159027318,36,0.0,0
83596.13516397768,19280.401409208276,36,1.0,0
47518.645327376675,14566.407404981834,36,1.0,0
69488.2771171784,13799.053529111874,60,1.0,0
,13649.45110573707,60,1.0,1
76635.36803558227,,36,1.0,0
34631.37770955812,25692.25413681665,36,1.0,1
64348.92627997191,14066.077184731961,60,1.0,0
71051.64076329258,23302.95112495298,36,1.0,0
20342.689244383942,25127.896311534707,36,,1
,21989.865388887763,36,1.0,1
15293.820800318186,13410.278123691709,60,1.0,1
47150.67697999796,18422.38054201966,60,,1
64915.76060432732,15854.826361654503,60,0.0,0
79042.42693772851,10577.78883561923,60,1.0,1
53333.706047555956,17946.15569032962,60,,0
81315.07982028325,8925.761253041186,60,1.0,0
27158.173752131956,23126.07633076938,36,1.0,1
,13212.296216209641,60,0.0,1
51000.14141986086,,60,1.0,0
58913.17808090753,17699.727229276854,36,0.0,1
51411.49453430632,14446.570157775535,60,1.0,0
14786.042199282223,19520.162808851648,60,1.0,1
50395.83928876981,13150.578060264854,36,1.0,0
28519.54899091264,21227.783784743464,36,1.0,0
64054.105878940696,7924.121918519509,36,1.0,0
58598.76842974327,16758.277477278472,60,1.0,1
35082.16384610761,27633.57399434971,36,1.0,0
42750.39548793952,9998.012052366552,60,1.0,0
32934.15660599887,11933.53017685089,60,1.0,0
,,60,1.0,0
69192.56176902229,,60,,0
34256.93116596021,18103.780595641354,36,1.0,0
61072.837279321204,18935.12278088598,36,1.0,1
42455.36286929606,19808.32881137062,60,1.0,0
37728.28901927781,22658.199051737338,36,0.0,0
50073.45352081796,,60,,0
33365.63819645127,14552.454072288745,60,1.0,0
42034.31250375073,20035.442207216387,60,0.0,1
30438.197933400726,27399.291609371292,36,1.0,1
87365.05239249501,15204.197521704558,60,1.0,0
52634.74393549112,10152.82417197615,60,1.0,0
39404.94085613346,22642.484015721835,36,1.0,0
55851.638393215995,15277.71301627841,36,1.0,0
49978.095105565066,2963.982723915782,36,0.0,0
48022.547208401986,21084.53006290253,36,1.0,1
63055.000600781656,12788.030884276464,60,1.0,0
65635.1387808515,15456.800306175035,36,1.0,0
42450.979343010506,17991.88198341409,60,1.0,0
41635.27166839576,17142.998078674398,36,1.0,0
47049.06945127041,20256.71090283424,36,1.0,1
10565.41903475947,13387.08177658094,36,0.0,1
24726.56088042606,19078.634789056498,36,1.0,1
,14442.719934496497,36,1.0,1
81609.4188430231,20432.86288532502,36,1.0,0
47517.35128798519,19692.20490407832,60,1.0,0
62378.0253350038,10387.367787732428,36,0.0,1
,22515.892697050193,36,1.0,0
107419.85455219427,,36,1.0,0
72152.34840582238,20848.34678968687,36,,0
49697.4833533462,18203.723880408044,60,1.0,0
34800.27206919233,,36,1.0,1
23083.966235363696,14659.204105768888,36,0.0,0
55662.345445610015,13904.099223290816,36,1.0,0
,15883.482364673604,36,0.0,0
26399.433227241865,14180.921302994348,60,1.0,1
40361.68808363452,20799.6514116523,36,0.0,1
32532.135934940892,6302.136349380473,60,0.0,1
82368.54943130616,9677.905485121875,36,1.0,0
67869.5156250901,9593.182470524842,60,1.0,1
51856.49245630089,21701.845551841456,60,1.0,1
78638.99450002046,26263.68023549155,36,1.0,0
53392.62953765713,15373.304688775172,36,1.0,1
36496.88437609126,14987.069660859936,60,1.0,1
79416.23339085383,16420.31297867909,60,,1
61700.380786323854,22971.269815649142,36,0.0,1
33329.569222123784,10435.881194856556,60,,0
48573.903794495054,17430.21389640871,60,1.0,1
36238.87143907437,21851.185778694577,60,1.0,0
27109.60484264195,,36,1.0,1
68671.19585556955,17137.48969959246,60,,1
86369.49952846236,22006.27655540285,60,0.0,1
26825.78367125546,1000.0,60,1.0,0
62133.446260430275,20067.251917185444,36,1.0,1
40288.43375580711,12075.545901235457,36,0.0,1
43231.74309223547,5016.202618861258,60,1.0,0
41336.90936370035,,36,1.0,1
36448.16614576331,24241.95127097775,60,1.0,1
52873.38930300689,15175.30891223385,36,1.0,0
37042.89790460132,21717.24728321763,36,0.0,0
56868.222864037096,25673.669547931873,60,1.0,1
51095.714029915536,23889.486721504283,36,,0
47698.93515640462,25839.787176228358,36,1.0,1
35663.85408325124,20452.764946431354,36,1.0,0
41618.11604977001,16452.601833409557,60,1.0,1
,,36,1.0,0
61016.50937723885,14523.62507122031,36,,0
,,60,1.0,0
53787.98149772607,29025.656304986882,36,1.0,1
65524.9682206922,14944.68512540598,36,,0
21950.704939815307,16739.228840706914,36,1.0,1
61780.483462838834,19308.912256242806,36,,1
40072.772338974755,16261.614678234722,36,1.0,0
62270.77603467687,26170.30624258452,60,1.0,1
38261.335182234696,12264.103829593289,60,1.0,1
19512.12218803866,17167.644731423457,36,1.0,1
22704.236118103072,11545.17648581171,36,,1
52865.529039904875,8079.864932675765,36,1.0,1
56675.00503098667,12329.385454568288,60,1.0,0
35722.300748120644,15777.779217709527,60,1.0,1
63494.66425799273,13424.18665289644,36,0.0,1
22092.638879158723,11845.474120756864,36,1.0,0
,7562.0952179689975,60,0.0,1
30201.70840427578,15501.366564227832,36,1.0,0
40266.95005956113,6971.6777558139875,60,1.0,1
52853.17608369545,20560.335782137616,60,0.0,1
36512.55942488886,16494.638517607018,36,1.0,0
45078.00020386314,7254.691003210417,60,1.0,1
70113.27056585993,14144.74553770082,36,1.0,0
41615.946348583326,11487.061566456501,36,0.0,1
67042.45801717255,17915.04706251508,36,,1
,,36,1.0,1
61536.47520247509,4748.965182125532,36,1.0,0
77948.23517184221,16690.156474884505,36,0.0,1
8000.0,,60,1.0,1
37655.885401531414,20028.040458702795,60,,0
62387.298289249724,17279.179769426133,60,1.0,0
48345.18305122613,11488.184009567085,60,1.0,1
58680.62572068356,14085.67638600029,36,1.0,0
,11223.844859179066,60,1.0,0
53558.6161745122,22456.04283159159,60,1.0,1
49197.80976294257,16127.869892031653,60,1.0,1
73020.07710987653,27407.144114518043,36,1.0,0
56579.57517942184,15636.035117112275,60,,0
58076.84791735364,11749.559398537223,36,1.0,0
44586.214609795585,,60,1.0,0
43223.087966695115,5181.16194246433,36,1.0,0
44213.952619246826,6495.184341967062,36,1.0,0
,17602.7599060689,60,1.0,0
44422.27934523526,,36,1.0,1
57215.94742413543,6512.855787807199,36,0.0,1
89357.2143756179,21370.229884456694,60,1.0,0
67680.24466177047,13101.633689899363,60,1.0,0
,16880.758071913297,60,0.0,1
73621.85059895102,25673.323769532544,36,0.0,1
44654.643285612074,21381.035895193192,36,1.0,0
15313.758366798633,14388.816112565006,36,1.0,1
33854.44640348673,10652.846647508275,60,1.0,0
18325.7454215346,3089.107592024171,36,,0
45672.75728725644,11685.08008454548,36,,0
52331.53082541193,14733.218567033833,36,0.0,1
82175.87162095509,10076.922837092896,36,1.0,1
57884.692727754926,15212.458197446173,36,0.0,0
48056.19048144044,16461.11129775261,36,0.0,0
66929.3004613028,14650.86410915153,36,0.0,1
12199.56443785807,12099.984515059241,60,1.0,1
56241.06204595419,17011.928031800366,60,,1
65875.5734899654,18651.643897416456,60,1.0,0
25385.44757596285,9457.605535342924,36,1.0,1
72587.57277772472,24465.59427847762,36,1.0,0
58092.935334899455,15408.471206294429,60,1.0,0
44524.81754978558,16113.097737669086,36,1.0,0
63390.073589913125,20249.286539539342,60,0.0,1
92872.47144047913,17399.29678758101,36,,1
55273.59259105291,,36,0.0,1
56467.97055340605,17722.744991210944,60,0.0,1
43731.50380827561,12325.375752157372,60,1.0,0
36702.80134963375,18169.02115123661,60,1.0,0
66946.04469779642,9137.64275607603,60,1.0,0
36590.49113364039,16651.35823465914,60,1.0,1
53288.19226994907,15800.620056133235,36,1.0,0
43402.165958227895,14751.298856364761,36,0.0,0
60621.63686343505,15228.774931366415,36,0.0,0
58005.91789516507,4708.905727014166,60,0.0,0
70675.71899664219,12707.650553554231,60,0.0,0
,16557.069406846687,60,1.0,0
47142.25116471932,16959.138351984402,60,1.0,0
34382.25311591847,9833.94915444425,60,0.0,1
44002.72131862999,23594.247045188204,60,1.0,1
58791.40887480734,10802.950910712996,36,1.0,1
65625.79509961634,21816.74320316042,36,1.0,1
35401.024164802744,18563.16617123011,36,0.0,1
,12122.636140937182,36,0.0,0
76401.48145848911,26651.86535565707,36,0.0,1
59441.82825802662,8838.17900946112,60,0.0,1
85782.32462604519,21514.925041660008,60,1.0,0
,22003.49390825787,60,0.0,1
29596.215340394494,11976.27874554013,60,1.0,1
19983.035519722984,24354.791800385974,60,1.0,1
78928.7976068053,14499.720912406283,60,1.0,0
63778.58181437304,17732.161775679142,36,1.0,0
50999.47592361181,17561.931032627326,60,0.0,0
,15194.147551176713,60,1.0,1
31741.197148629224,20864.849638958694,60,1.0,0
96023.53563310287,20760.932323313278,60,0.0,0
54325.98127555409,,36,0.0,0
53969.106302888074,23826.041457268915,36,,0
65063.79923017645,6025.048071785954,60,,0
60658.16617126084,,36,1.0,0
56029.912437024366,,36,1.0,0
37771.45980198438,9454.20141870881,60,1.0,1
60486.43042844792,13535.11427227249,60,0.0,0
85876.44093655061,9365.771989084385,60,1.0,0
76217.5608307896,14710.473818267588,60,0.0,0
